name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website
Quick Alterations,+64 9 527 6681,,"264 Penrose Road, Mount Wellington, Auckland 1060, New Zealand",Auckland,New Zealand,Beauty Parlour,5.0,5,"https://www.google.com/maps/place/Quick+Alterations/@-36.9078972,174.8378519,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d494038301079:0xd7766a0d63a982be!8m2!3d-36.9078972!4d174.8378519!16s%2Fg%2F11fnwhbp79?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Picton Clothing Alterations Ltd,+64 21 310 423,,"30 Headcorn Place, Howick, Auckland 2014, New Zealand",Auckland,New Zealand,Professional services,4.7,4,"https://www.google.com/maps/place/Picton+Clothing+Alterations+Ltd/@-36.9146596,174.9130558,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4b28c6a6689d:0xd3c01b648fb903c1!8m2!3d-36.9146596!4d174.9130558!16s%2Fg%2F1pycslwz0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Twin Needles,+64 22 463 2290,,"8/160 Kitchener Road, Milford, Auckland 0620, New Zealand",Auckland,New Zealand,Clothing alteration service,4.8,4,"https://www.google.com/maps/place/Twin+Needles/@-36.7729839,174.7657651,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d39e709438e8d:0x454384b6fffd7e66!8m2!3d-36.7729839!4d174.7657651!16s%2Fg%2F1vqmjk4_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Leemake Tailoring,+64 22 505 1736,,,Auckland,New Zealand,Clothing alteration service,3.9,3,"https://www.google.com/maps/place/Leemake+Tailoring/@-40.9248354,175.0039087,5z/data=!3m1!4b1!4m6!3m5!1s0x6d0d46ff7b56f11d:0x588704d3c17adef5!8m2!3d-40.9248354!4d175.0039087!16s%2Fg%2F11d_1p754q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Raj Tailoring And Alterations,+64 9 250 4158,,"We are located upstairs, 129 Great South Road, Papatoetoe, Auckland 2025, New Zealand",Auckland,New Zealand,Clothing alteration service,4.1,4,"https://www.google.com/maps/place/Raj+Tailoring+And+Alterations/@-36.9686905,174.8594733,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4e9c6c5959ef:0x6746b2f6a02b953d!8m2!3d-36.9686905!4d174.8594733!16s%2Fg%2F1tfl9vhq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
sewing&crafts,+64 9 836 0080,,"shop14/357 Great North Road, Henderson, Auckland 0612, New Zealand",Auckland,New Zealand,Clothing alteration service,4.8,4,"https://www.google.com/maps/place/sewing%26crafts/@-36.8796596,174.6332246,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d41b390e6d01f:0x4141556d28d331ff!8m2!3d-36.8796596!4d174.6332246!16s%2Fg%2F1tdkgv6h?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
"Knitwear Sweater, Jacket invisible mending& Invisible mending",+64 21 966 088,,"21 Landop Terrace, Howick, Manukau 2014, New Zealand",Auckland,New Zealand,Clothing alteration service,5.0,5,"https://www.google.com/maps/place/Knitwear+Sweater,+Jacket+invisible+mending%26+Invisible+mending/@-36.8906913,174.9195639,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4ae5020092bf:0xe5e5b46598651893!8m2!3d-36.8906913!4d174.9195639!16s%2Fg%2F1tgz5p0r?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Stage2,+64 9 360 9575,,"571A Great North Road, Grey Lynn, Auckland 1021, New Zealand",Auckland,New Zealand,Clothing alteration service,4.1,4,"https://www.google.com/maps/place/Stage2/@-36.8641937,174.7376153,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47a3f1b23b2b:0x8626684afa06144b!8m2!3d-36.8641937!4d174.7376153!16s%2Fg%2F11c75_krgg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Pravin's Tailoring,+64 210 297 8839,,"4158c Great North Road, Glendene, Auckland 0612, New Zealand",Auckland,New Zealand,Tailor,4.5,4,"https://www.google.com/maps/place/Pravin's+Tailoring/@-36.8945349,174.6443014,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d41a113de5c85:0xca0c6dc9107dcbb0!8m2!3d-36.8945349!4d174.6443014!16s%2Fg%2F11gbzbkghs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
STITCH SHOP,+64 22 499 4916,,"9/11 Rangitoto Road, Papatoetoe, Auckland 2025, New Zealand",Auckland,New Zealand,Clothing store,5.0,5,"https://www.google.com/maps/place/STITCH+SHOP/@-36.979206,174.8523296,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d530d39a48f07:0xe8429366d2467d2!8m2!3d-36.979206!4d174.8523296!16s%2Fg%2F11w9xqb3wh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
