name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Garg Bakery,085059 15129,,"Garg Colony, Mukesh Colony, Road, Jain Colony, Ballabhgarh, Faridabad, Haryana 121004",Faridabad,India,Bakery and Cake Shop,3.9,3,"https://www.google.com/maps/place/Garg+Bakery/@28.3335717,77.3205647,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdbe996abc2cf:0xfad3976a333c0efc!8m2!3d28.3335717!4d77.3205647!16s%2Fg%2F11fhz16pbv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
"Perfect Bake Sec 28, Faridabad, India",076696 14277,,"Rajendra Colony, Sector 28, Faridabad, Haryana 121008",Faridabad,India,Bakery and Cake Shop,3.4,3,"https://www.google.com/maps/place/Perfect+Bake+Sec+28,+Faridabad,+India/@28.4304855,77.3160553,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd022a4a06e3:0x34d96eb8c67d801c!8m2!3d28.4304855!4d77.3160553!16s%2Fg%2F11trvzc44s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Home Bakery Faridabad,099100 35922,,"Green Power Residency, Block S, Sector 75, Faridabad, Haryana 121006",Faridabad,India,Bakery and Cake Shop,5.0,5,"https://www.google.com/maps/place/Home+Bakery+Faridabad/@28.3699112,77.3505231,17z/data=!3m1!4b1!4m6!3m5!1s0x6aa719c367767ed3:0xcbec51528bed1d7a!8m2!3d28.3699112!4d77.3505231!16s%2Fg%2F11whwd003k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Heena Bakery,092127 13714,,"Shop no, 231, Gurudwara Rd, JawaharColony, New Industrial Township, Faridabad, Haryana 121005",Faridabad,India,Bakery and Cake Shop,3.9,3,"https://www.google.com/maps/place/Heena+Bakery/@28.3674673,77.2879624,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdc1d0ca25b5f:0xa2d372f6d1708234!8m2!3d28.3674673!4d77.2879624!16s%2Fg%2F11yq4dd19?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Bake Mart,083683 40315,,"State Bank ATM 11, Haryana 121003",Faridabad,India,Bakery and Cake Shop,4.0,4,"https://www.google.com/maps/place/Bake+Mart/@28.4459316,77.3171049,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddb6cdd5f797:0xbf1320f3a0c712e4!8m2!3d28.4459316!4d77.3171049!16s%2Fg%2F11n00vclh4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Same Day Cake Delivery in Faridabad,087000 72300,care.flowerfaridabad@gmail.com,,Faridabad,India,Bakery and Cake Shop,4.6,4,"https://www.google.com/maps/place/Same+Day+Cake+Delivery+in+Faridabad/@28.356836,77.3281612,11z/data=!3m1!4b1!4m6!3m5!1s0x390cdb86f2da83d1:0x28225dde3e96e1f5!8m2!3d28.356836!4d77.3281612!16s%2Fg%2F11f3x5np6x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.flowerfaridabad.com/product-category/cakes,poor_seo,57,Title too long; No H1 heading; No HTTPS (insecure); 32 images missing alt
Fresh Cakes,088005 53912,,"Gyasi Modi, Main, Sehatpur Rd, Surya Colony, Sehatpur, Faridabad, Haryana 121013",Faridabad,India,Bakery and Cake Shop,4.3,4,"https://www.google.com/maps/place/Fresh+Cakes/@28.4794087,77.3275141,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce7095a5aa93f:0xc0fb919840328235!8m2!3d28.4794087!4d77.3275141!16s%2Fg%2F11hbn64myk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dhingra Bakery,099589 01524,,"90, Basement, SCF, Sector-17, Sector 17, Faridabad, Haryana 121002",Faridabad,India,Bakery and Cake Shop,4.0,4,"https://www.google.com/maps/place/Dhingra+Bakery/@28.4103674,77.3285922,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddaf944688a9:0x9afca0d6045b3d3d!8m2!3d28.4103674!4d77.3285922!16s%2Fg%2F11hzd1ccc1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Pastry Shop,085860 41501,,"SCF 43 First Floor, Sector 29, Faridabad, Haryana 121008",Faridabad,India,Bakery and Cake Shop,3.9,3,"https://www.google.com/maps/place/Pastry+Shop/@28.4336127,77.3221627,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd9a17230d1d:0x278adb56f7a44a06!8m2!3d28.4336127!4d77.3221627!16s%2Fg%2F11fx7vlk5z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Cakery's,,,"first floor, Anaj Mandi, Scf 35, HUDA Staff Colony, Sector 16, Faridabad, Haryana 121002",Faridabad,India,Bakery and Cake Shop,4.9,4,"https://www.google.com/maps/place/Cakery's/@28.4136216,77.3191171,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd6b5adba311:0x2f34a5f783c9e8fb!8m2!3d28.4136216!4d77.3191171!16s%2Fg%2F11xw9vs1nb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.cakerys.com/,poor_seo,50,Title too short; No meta description; Multiple H1s (2); No schema markup; No canonical tag
