name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
The Homestore,+64 27 207 7864,,"20 Panama Street, Wellington Central, Wellington 6011, New Zealand",wellington,New Zealand,Countertop store,4.4,4,"https://www.google.com/maps/place/The+Homestore/@-41.2838775,174.776353,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd5ac84919b:0x78d137b51338a37e!8m2!3d-41.2838775!4d174.776353!16s%2Fg%2F1tdm3xsl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Myrtle,,,"23 Kent Terrace, Mount Victoria, Wellington 6011, New Zealand",wellington,New Zealand,Bakery and Cake Shop,4.8,4,"https://www.google.com/maps/place/Myrtle/@-41.295153,174.7835869,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38af232c3b557b:0x63a70d3fc1541e15!8m2!3d-41.295153!4d174.7835869!16s%2Fg%2F11sfty6v39?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://myrtle.co.nz/,poor_seo,23,No meta description; No H1 heading; No HTTPS (insecure); Not mobile-friendly; No schema markup; No canonical tag
Le Moulin Bakery,+64 4 382 8118,,"Shop 5/248 Willis Street, Te Aro, Wellington 6011, New Zealand",wellington,New Zealand,Bakery and Cake Shop,4.6,4,"https://www.google.com/maps/place/Le+Moulin+Bakery/@-41.2940842,174.7718161,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38b027bf16a783:0xb2ba63a0c179a1f4!8m2!3d-41.2940842!4d174.7718161!16s%2Fg%2F1tp27ghw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Olde Beach Bakery,+64 4 293 7641,,"3 Ono Street, Waikanae Beach 5036, New Zealand",wellington,New Zealand,Bakery and Cake Shop,4.6,4,"https://www.google.com/maps/place/Olde+Beach+Bakery/@-40.8657012,175.026322,17z/data=!3m1!4b1!4m6!3m5!1s0x6d40a21c366f0f81:0x49d3090c229f00c4!8m2!3d-40.8657012!4d175.026322!16s%2Fg%2F11b7284hn8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.foodfolk.co.nz/olde-beach-bakery/,poor_seo,54,Title too short; No meta description; Multiple H1s (21); 42 images missing alt
PUREWEI CAREERS,+64 4 891 0268,webmaster@purewei.com,"90 Dixon Street, Te Aro, Wellington 6011, New Zealand",wellington,New Zealand,Delivery service,5.0,5,"https://www.google.com/maps/place/PUREWEI+CAREERS/@-41.2911085,174.7749058,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd7b99158f9:0x61efaaef94791a92!8m2!3d-41.2911085!4d174.7749058!16s%2Fg%2F11sqhzzr6w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://purewei.com/,poor_seo,28,Title too short; No meta description; No H1 heading; No HTTPS (insecure); No schema markup; No canonical tag
The Pink Pineapple,+64 4 232 6146,,"214A Main Road, Tawa, Wellington 5028, New Zealand",wellington,New Zealand,Cafe,4.1,4,"https://www.google.com/maps/place/The+Pink+Pineapple/@-41.1693118,174.8252274,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38acd20b534c83:0xd0a80679d4ed2427!8m2!3d-41.1693118!4d174.8252274!16s%2Fg%2F1td20g06?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
New World Supermarket Wellington City,+64 4 384 8054,,"279 Wakefield Street, Te Aro, Wellington 6011, New Zealand",wellington,New Zealand,Supermarket,4.3,4,"https://www.google.com/maps/place/New+World+Supermarket+Wellington+City/@-41.2924645,174.7843538,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afcffc92a0f7:0x5cc9b6fb1ffb0af4!8m2!3d-41.2924645!4d174.7843538!16s%2Fg%2F1vr3dbyc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.newworld.co.nz/,poor_seo,43,Title too short; No meta description; No HTTPS (insecure); No schema markup; No canonical tag
Havana Coffee Works,+64 4 384 7041,,"163 Tory Street, Te Aro, Wellington 6011, New Zealand",wellington,New Zealand,Coffee shop,4.7,4,"https://www.google.com/maps/place/Havana+Coffee+Works/@-41.2977035,174.7790201,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd8f1054bdb:0xf6268cef25132205!8m2!3d-41.2977035!4d174.7790201!16s%2Fg%2F1v1kq14z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.havana.co.nz/,poor_seo,59,Title too long; Meta desc too long; Multiple H1s (2); No HTTPS (insecure); 15 images missing alt
t-Lounge by Dilmah,+64 4 213 9242,,"22 Willeston Street, Wellington Central, Wellington 6011, New Zealand",wellington,New Zealand,Restaurant,4.7,4,"https://www.google.com/maps/place/t-Lounge+by+Dilmah/@-41.2865332,174.7767672,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38af5ecab85239:0xb905267852ea2726!8m2!3d-41.2865332!4d174.7767672!16s%2Fg%2F11mv1wq1sv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.tlounge.co.nz/,poor_seo,57,No meta description; Multiple H1s (8); 8 images missing alt; No schema markup
West Two Espresso,+64 22 350 8621,,"136/11 Jessie Street, Te Aro, Wellington 6011, New Zealand",wellington,New Zealand,Coffee shop,5.0,5,"https://www.google.com/maps/place/West+Two+Espresso/@-41.2949888,174.7776039,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38af7fe1fa42a3:0xe1bd64cb3543e6ef!8m2!3d-41.2949888!4d174.7776039!16s%2Fg%2F11sv_4hvz0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
