name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Kelvin House,,,"Wellington Central, Wellington 6011, New Zealand",wellington,New Zealand,Condominium complex,4.0,4,"https://www.google.com/maps/place/Kelvin+House/@-41.279388,174.7753746,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ae2a48bfc253:0x621a069bb6e25c9d!8m2!3d-41.279388!4d174.7753746!16s%2Fg%2F11fk1p0fd_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
NZ Society for Sedation in Dentistry,+64 21 937 887,nzssd101@gmail.com,"62-66 Vivian Street, Te Aro, Wellington 6011, New Zealand",wellington,New Zealand,Dental clinic,,,"https://www.google.com/maps/place/NZ+Society+for+Sedation+in+Dentistry/@-41.2959385,174.778896,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afdbd14cc6a5:0x54f11b6109356098!8m2!3d-41.2959385!4d174.778896!16s%2Fg%2F11h52y3pwm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.dentalsedation.co.nz/dental-sedation-courses/,poor_seo,58,No meta description; No HTTPS (insecure); No schema markup
Dr Matthew J Williams,+64 4 472 3335,,"PSA House 11 Aurora Terrace, Wellington Central, Wellington 6011, New Zealand",wellington,New Zealand,Orthodontist,5.0,5,"https://www.google.com/maps/place/Dr+Matthew+J+Williams/@-41.281247,174.7742661,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ae2a914fec63:0xf7dda3145f3a88c7!8m2!3d-41.281247!4d174.7742661!16s%2Fg%2F1tgn9t7j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
City Dental Surgery,+64 4 916 1486,,"Pipitea, Wellington 6011, New Zealand",wellington,New Zealand,Dentist,,,"https://www.google.com/maps/place/City+Dental+Surgery/@-41.2801935,174.7801624,14z/data=!3m1!4b1!4m6!3m5!1s0x6d38ae2c5c71325f:0xa449a1352b6dee06!8m2!3d-41.2801935!4d174.7801624!16s%2Fg%2F1tm88mk1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Emergency Dentist Wellington,+64 4 570 0520,info@supremedentalconcepts.co.nz,"Level 1/9 Raroa Road, Hutt Central, Lower Hutt 5010, New Zealand",wellington,New Zealand,Dentist,,,"https://www.google.com/maps/place/Emergency+Dentist+Wellington/@-41.2070851,174.909402,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38aaf78e5dab13:0xc914fc2609cbb4f6!8m2!3d-41.2070851!4d174.909402!16s%2Fg%2F11fmx1575s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.emergencydentistwellington.co.nz/contact,poor_seo,28,Title too short; No meta description; No H1 heading; No HTTPS (insecure); No schema markup; No canonical tag
Mr D D Bamberry,,,"16 The Terrace, Wellington Central, Wellington 6011, New Zealand",wellington,New Zealand,Dentist,,,"https://www.google.com/maps/place/Mr+D+D+Bamberry/@-41.2793536,174.7753025,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ae2a4859a257:0x91a4cb561bb824ae!8m2!3d-41.2793536!4d174.7753025!16s%2Fg%2F1tfzmjdf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://mr-d-d-bamberry.slue.io/,poor_seo,43,Title too short; No meta description; No HTTPS (insecure); No schema markup; No canonical tag
Dental SleepMed,+64 21 990 781,,"Level 1/90 The Terrace, Wellington Central, Wellington 6011, New Zealand",wellington,New Zealand,Sleep clinic,,,"https://www.google.com/maps/place/Dental+SleepMed/@-41.2820507,174.7745414,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38af3173ef2b01:0x7a3efdcfa5a9ae87!8m2!3d-41.2820507!4d174.7745414!16s%2Fg%2F11v3yy9ylz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Smile Care Centre,+64 4 569 6748,,"49 Witako Street, Epuni, Lower Hutt 5011, New Zealand",wellington,New Zealand,Dental clinic,5.0,5,"https://www.google.com/maps/place/Smile+Care+Centre/@-41.2085666,174.9227924,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38aa8a6e4d8513:0x3b646cd59aec34b4!8m2!3d-41.2085666!4d174.9227924!16s%2Fg%2F1tp0891n?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Hutt Valley Orthodontics,+64 4 586 5707,%20info@theorthodontist.co.nz,"2 Connolly Street, Hutt Central, Lower Hutt 5010, New Zealand",wellington,New Zealand,Orthodontist,4.9,4,"https://www.google.com/maps/place/Hutt+Valley+Orthodontics/@-41.2042999,174.9120483,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ab1388581543:0x48f0e4f61700210e!8m2!3d-41.2042999!4d174.9120483!16s%2Fg%2F11gh95sbh_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://huttvalleyorthodontics.co.nz/,poor_seo,49,No meta description; Multiple H1s (5); No HTTPS (insecure); 29 images missing alt
Ferry Oliver C,+64 4 472 7826,,"RadioNZ Building Ground Floor/155 The Terrace, Wellington Central, Wellington 6011, New Zealand",wellington,New Zealand,Dentist,4.3,4,"https://www.google.com/maps/place/Ferry+Oliver+C/@-41.2850845,174.7741727,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd570e78d07:0x8793f5908020baaa!8m2!3d-41.2850845!4d174.7741727!16s%2Fg%2F11xfslw_z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
