name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
New World Island Bay,+64 4 939 8253,,"6 Medway Street, Island Bay, Wellington 6023, New Zealand",Wellington,New Zealand,Supermarket,4.2,4,"https://www.google.com/maps/place/New+World+Island+Bay/@-41.3346553,174.772524,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38bab2dd3673e1:0x8d92c143af268506!8m2!3d-41.3346553!4d174.772524!16s%2Fg%2F1tfjfqx8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.newworld.co.nz/,poor_seo,43,Title too short; No meta description; No HTTPS (insecure); No schema markup; No canonical tag
Best Souvenirs Wellington,+64 4 385 3568,,"177 Willis Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Souvenir store,4.2,4,"https://www.google.com/maps/place/Best+Souvenirs+Wellington/@-41.2911868,174.7737107,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd7d9f6d153:0x7a5072c8a83330aa!8m2!3d-41.2911868!4d174.7737107!16s%2Fg%2F11bwyvwrw0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Manga The Foodstore,+64 4 389 1623,,"218A Riddiford Street, Newtown, Wellington 6021, New Zealand",Wellington,New Zealand,Indian grocery store,4.4,4,"https://www.google.com/maps/place/Manga+The+Foodstore/@-41.3150212,174.7800767,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38affb0d89963f:0xf5b30a068c98b100!8m2!3d-41.3150212!4d174.7800767!16s%2Fg%2F11c3w0kg7j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.manga.co.nz/,poor_seo,3,No page title; No meta description; No H1 heading; No HTTPS (insecure); Not mobile-friendly; No schema markup; No canonical tag
Jaycar Electronics Wellington,+64 4 801 9005,,"76 Adelaide Road, Mount Cook, Wellington 6021, New Zealand",Wellington,New Zealand,Electrical supply store,4.3,4,"https://www.google.com/maps/place/Jaycar+Electronics+Wellington/@-41.3039649,174.7786909,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afdf12e39759:0xb1f8a587f2a56dfa!8m2!3d-41.3039649!4d174.7786909!16s%2Fg%2F1tmpw4vw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.jaycar.co.nz/stores/wellington_jaycarnz,poor_seo,43,Title too short; No meta description; No H1 heading; No schema markup; No canonical tag
NZ Accessorise,+64 21 119 6757,,"151 Willis Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Clothing Accessories Store,,,"https://www.google.com/maps/place/NZ+Accessorise/@-41.290431,174.7741687,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd7cce7533b:0x6fc4acc0dffcc743!8m2!3d-41.290431!4d174.7741687!16s%2Fg%2F1yh9nbqhs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
New World Supermarket Wellington City,+64 4 384 8054,,"279 Wakefield Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Supermarket,4.3,4,"https://www.google.com/maps/place/New+World+Supermarket+Wellington+City/@-41.2924645,174.7843538,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afcffc92a0f7:0x5cc9b6fb1ffb0af4!8m2!3d-41.2924645!4d174.7843538!16s%2Fg%2F1vr3dbyc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.newworld.co.nz/,poor_seo,43,Title too short; No meta description; No HTTPS (insecure); No schema markup; No canonical tag
Beautiful Aromas Massage & Waxing Boutique - Wellington,+64 27 952 5822,syuan1234@hotmail.com,"4 Judd Crescent, Naenae, Lower Hutt 5011, New Zealand",Wellington,New Zealand,Beauty Parlour,5.0,5,"https://www.google.com/maps/place/Beautiful+Aromas+Massage+%26+Waxing+Boutique+-+Wellington/@-41.2103978,174.9520236,17z/data=!3m1!4b1!4m6!3m5!1s0x6d475577dee746fd:0x33f538b9d013ff60!8m2!3d-41.2103978!4d174.9520236!16s%2Fg%2F1hm3708mt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.beautifularomas.co/,poor_seo,44,Title too long; No meta description; Multiple H1s (2); No HTTPS (insecure); 8 images missing alt
Fabulash Brows & Aesthetics,+64 4 213 8595,info@fabulashbrows.co.nz,"Level 5/76 Manners Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Beauty Parlour,4.8,4,"https://www.google.com/maps/place/Fabulash+Brows+%26+Aesthetics/@-41.2908443,174.7761509,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afcc88906cd1:0xe2ac2cff78a6c964!8m2!3d-41.2908443!4d174.7761509!16s%2Fg%2F11hz11_9c1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.fabulashbrows.co.nz/,poor_seo,59,Title too long; Meta desc too long; Multiple H1s (6); No HTTPS (insecure); 19 images missing alt
Farmers Lambton Quay,+64 4 471 5320,contactus@farmers.co.nz,"218/206 Lambton Quay, Wellington Central, Wellington 6011, New Zealand",Wellington,New Zealand,Department store,4.1,4,"https://www.google.com/maps/place/Farmers+Lambton+Quay/@-41.2826657,174.7754647,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ae2ad3499067:0x8d6581abd6644652!8m2!3d-41.2826657!4d174.7754647!16s%2Fg%2F1vbl7s8x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.farmers.co.nz/?utm_source=GMB&utm_medium=lambtonquay&utm_campaign=gmb,poor_seo,43,Title too short; No meta description; Not mobile-friendly; No schema markup; No canonical tag
Lasting Beauty Cosmetic Tattoo,+64 4 974 8084,,"C/28 Knights Road, Hutt Central, Lower Hutt 5010, New Zealand",Wellington,New Zealand,Permanent make-up clinic,4.9,4,"https://www.google.com/maps/place/Lasting+Beauty+Cosmetic+Tattoo/@-41.210982,174.904791,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38aa565e20fbd5:0xa6724bda311f3a9c!8m2!3d-41.210982!4d174.904791!16s%2Fg%2F11b5ymcmvf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.lastingbeauty.co.nz/,poor_seo,53,No meta description; Not mobile-friendly; No schema markup; No canonical tag
Laser Clinics New Zealand - Willis St,+64 4 888 1373,,"Shop G02/18 Willis Street, Wellington Central, Wellington 6011, New Zealand",Wellington,New Zealand,Laser hair removal service,4.5,4,"https://www.google.com/maps/place/Laser+Clinics+New+Zealand+-+Willis+St/@-41.2867791,174.7758252,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38af78d9012ce9:0x5f52f63641c26845!8m2!3d-41.2867791!4d174.7758252!16s%2Fg%2F11k_21sw3_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.laserclinicsnewzealand.co.nz/skin-care-clinic/Willis-st/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page&utm_content=Willis%20St&utm_term=plcid_5792362022435282940,poor_seo,55,Title too short; No meta description; 12 images missing alt; No schema markup
Midio,+64 4 471 0898,info@midio.co.nz,"109, 110/180 Lambton Quay, Wellington 6011, New Zealand",Wellington,New Zealand,Clothing Accessories Store,4.9,4,"https://www.google.com/maps/place/Midio/@-41.28182,174.7757878,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38aff4e3bce347:0xe9aa854e76031014!8m2!3d-41.28182!4d174.7757878!16s%2Fg%2F11hy29rl02?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.midio.co.nz/,poor_seo,32,Title too short; No meta description; Multiple H1s (2); No HTTPS (insecure); 24 images missing alt; No schema markup
