name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
New Zealand Quality Painters,,nzqpallan@gmail.com,"33 Cochrane Avenue, Whangaparaoa, Auckland 0932, New Zealand",Auckland,New Zealand,Painter,,,"https://www.google.com/maps/place/New+Zealand+Quality+Painters/@-36.6417208,174.7412483,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d25952ff18219:0xd939fff96a798b5b!8m2!3d-36.6417208!4d174.7412483!16s%2Fg%2F11sx0cwdcj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://nzqp.org/,poor_seo,42,No meta description; No H1 heading; No HTTPS (insecure); 5 images missing alt
Fairy Tale and Fun Faces Ltd - Mirror Mirror on the Wall need a face painter give US a call,+64 210 747 715,mitchandwinny@xtra.co.nz,"24 Bernleigh Terrace, West Harbour, Auckland 0618, New Zealand",Auckland,New Zealand,Entertainer,5.0,5,"https://www.google.com/maps/place/Fairy+Tale+and+Fun+Faces+Ltd+-+Mirror+Mirror+on+the+Wall+need+a+face+painter+give+US+a+call/@-36.815782,174.6302709,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d3f5dc965dcd9:0x3be28dcc76be1fb1!8m2!3d-36.815782!4d174.6302709!16s%2Fg%2F11q8585j88?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.facepaintermichelle.co.nz/,poor_seo,57,No meta description; No HTTPS (insecure); 28 images missing alt
Prima Projects Ltd,+64 21 215 8590,info@primaprojects.co.nz,"8 Cleveland Road, Parnell, Auckland 1052, New Zealand",Auckland,New Zealand,Painter,,,"https://www.google.com/maps/place/Prima+Projects+Ltd/@-36.8517819,174.7833124,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4989d2221b37:0x3489df5cfc0a1c0c!8m2!3d-36.8517819!4d174.7833124!16s%2Fg%2F11qpjrv91m?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.primaprojects.co.nz/,poor_seo,45,Title too long; No meta description; No HTTPS (insecure); 10 images missing alt; No schema markup
The House Painting Auckland Company,+64 800 753 017,,"Suite 8262/17B Farnham Street, Parnell, Auckland 1052, New Zealand",Auckland,New Zealand,Painter,,,https://www.google.com/maps/place/The+House+Painting+Auckland+Company/data=!4m7!3m6!1s0x6d0d480f9380afaf:0x4a2e52bae2230a3!8m2!3d-36.8516266!4d174.7822899!16s%2Fg%2F11d_yvqxnf!19sChIJr6-Akw9IDW0RozAirivlogQ?authuser=0&hl=en&rclk=1,Yes,http://housepaintingaucklandco.co.nz/,poor_seo,28,Title too short; No meta description; No HTTPS (insecure); Not mobile-friendly; No schema markup; No canonical tag
Auckland Roof Painting — North Shore,+64 800 257 663,,"31 Noeleen Street, Glenfield, Auckland 0629, New Zealand",Auckland,New Zealand,Roofing contractor,4.2,4,"https://www.google.com/maps/place/Auckland+Roof+Painting+%E2%80%94+North+Shore/@-36.7776299,174.7125504,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d3915d83bee9d:0x7f5198596b3e4fc1!8m2!3d-36.7776299!4d174.7125504!16s%2Fg%2F11c806t83j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.aucklandroofpainting.co.nz/,poor_seo,57,Multiple H1s (3); No HTTPS (insecure); 30 images missing alt; No schema markup; No canonical tag
Ayaan Top Painters,+64 22 190 5873,,,Auckland,New Zealand,Painter,5.0,5,"https://www.google.com/maps/place/Ayaan+Top+Painters/@-36.8328344,174.7265725,10z/data=!3m1!4b1!4m6!3m5!1s0x26ee2999c40eb78f:0xa757f476731cb5e5!8m2!3d-36.8328344!4d174.7265725!16s%2Fg%2F11x68c8wz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Adams Painting,+64 9 274 4145,,"3/36 Zelanian Drive, East Tāmaki, Auckland 2013, New Zealand",Auckland,New Zealand,Painting,4.5,4,"https://www.google.com/maps/place/Adams+Painting/@-36.944569,174.886349,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4c6f11469dc3:0xecb8a5909447700c!8m2!3d-36.944569!4d174.886349!16s%2Fg%2F11byl5yrkl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Almost New Zealand Property Services,+64 21 242 6506,,"14 Wallace Road, Māngere Bridge, Auckland 2022, New Zealand",Auckland,New Zealand,Handyman/Handywoman/Handyperson,5.0,5,"https://www.google.com/maps/place/Almost+New+Zealand+Property+Services/@-36.9442349,174.7765875,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4f0139e96939:0xe16490d62efa61d6!8m2!3d-36.9442349!4d174.7765875!16s%2Fg%2F11x8mj8t0b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
"Color Vibes | Residential & Commercial Painting Services Auckland, NZ",+64 210 298 0986,sales@colorvibesnz.com,"89 Mahia Road, Manurewa, Auckland 2102, New Zealand",Auckland,New Zealand,Painter,,,"https://www.google.com/maps/place/Color+Vibes+%7C+Residential+%26+Commercial+Painting+Services+Auckland,+NZ/@-37.0355594,174.8961783,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d39c40ec2cceb:0xa81c8ce0b611b02f!8m2!3d-37.0355594!4d174.8961783!16s%2Fg%2F11tmzv9hvk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://colorvibesnz.com/,poor_seo,35,Title too short; No meta description; No H1 heading; 26 images missing alt; No schema markup; No canonical tag
Davinci's Painting & Decorating Ltd,+64 21 433 912,,"Mount Wellington, Auckland 1060, New Zealand",Auckland,New Zealand,Painter,5.0,5,"https://www.google.com/maps/place/Davinci's+Painting+%26+Decorating+Ltd/@-36.9084854,174.8387404,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4936b8bd27f1:0xb06b62d6e5de03b4!8m2!3d-36.9084854!4d174.8387404!16s%2Fg%2F11fkssxfqx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://davincis-painting.co.nz/about-us/,poor_seo,43,Title too short; No meta description; Not mobile-friendly; No schema markup; No canonical tag
