name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Java Roastery,,ONLINE@JAVAROASTERY.CO.UK,"124 Colmore Row, Birmingham B3 3SD, United Kingdom",Birmingham,United Kingdom,Coffee shop,4.5,4,"https://www.google.com/maps/place/Java+Roastery/@52.4803246,-1.9018535,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bc8c66382ef7:0x63695926b5555264!8m2!3d52.4803246!4d-1.9018535!16s%2Fg%2F11b8t6p_fl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.javaroastery.co.uk/,poor_seo,59,Title too long; Meta desc too long; Multiple H1s (2); No HTTPS (insecure); 20 images missing alt
Pieminister,+44 121 285 3743,,"16 Waterloo St, Birmingham B2 5UG, United Kingdom",Birmingham,United Kingdom,Pie shop,4.5,4,"https://www.google.com/maps/place/Pieminister/@52.4798601,-1.901592,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bc8c71cad755:0x91ced4c8a05cd192!8m2!3d52.4798601!4d-1.901592!16s%2Fg%2F11dd_vkpxr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.pieminister.co.uk/restaurants/birmingham/,poor_seo,38,No meta description; No H1 heading; No HTTPS (insecure); No schema markup; No canonical tag
Maihan bakery,+44 121 533 9360,,"Waterloo Rd, Smethwick B66, UK, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,4.6,4,"https://www.google.com/maps/place/Maihan+bakery/@52.4860062,-1.9627832,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bd6c2ab28e43:0xca081556dd5aeacd!8m2!3d52.4860062!4d-1.9627832!16s%2Fg%2F11hbvw6n9t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Bethel Bakery Uk,,,"12 Walmley Cl, Walmley, Birmingham, Sutton Coldfield B76 1NQ, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,5.0,5,"https://www.google.com/maps/place/Bethel+Bakery+Uk/@52.54044,-1.800686,17z/data=!3m1!4b1!4m6!3m5!1s0x4870a59d6a5dcff9:0xa84a3d442f311834!8m2!3d52.54044!4d-1.800686!16s%2Fg%2F11j20knr11?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://bethelbakery.co.uk/,poor_seo,57,No meta description; No H1 heading; 4 images missing alt
Little Dessert Shop Kings Heath,+44 121 444 8811,,"65-67, THE PARADE, High St, King's Heath, Birmingham B14 7BH, United Kingdom",Birmingham,United Kingdom,Dessert restaurant,4.1,4,"https://www.google.com/maps/place/Little+Dessert+Shop+Kings+Heath/@52.4366423,-1.8921795,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bc1c9de07787:0x64cbcd4ec5d14d38!8m2!3d52.4366423!4d-1.8921795!16s%2Fg%2F11gh00kldw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://littledessertshop.co.uk/,poor_seo,43,Title too short; No meta description; No H1 heading; No schema markup; No canonical tag
Batch'd,+44 330 043 4575,,"Lower Mall, Birmingham B5 4BU, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,3.6,3,"https://www.google.com/maps/place/Batch'd/@52.4779516,-1.8938984,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bdc1c133fd5f:0x3979317b76dac1c4!8m2!3d52.4779516!4d-1.8938984!16s%2Fg%2F11rq3f4yxm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.batchd.co.uk/?utm_source=google&utm_medium=search&utm_content=GMB-Bullring,poor_seo,47,Title too short; No meta description; No H1 heading; 22 images missing alt
Simply Cakes by Leah,+44 7510 926634,,"25 Fellmeadow Rd, Birmingham B33 8LB, United Kingdom",Birmingham,United Kingdom,Cake shop,4.7,4,"https://www.google.com/maps/place/Simply+Cakes+by+Leah/@52.4794997,-1.7897495,17z/data=!3m1!4b1!4m6!3m5!1s0x4870ba5dcd784265:0xfe3a5c3c5b69d8d9!8m2!3d52.4794997!4d-1.7897495!16s%2Fg%2F11cmh6qq0w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Damascena Coffee House Birmingham City Centre,+44 121 233 1803,,"Portman House, 5-7 Temple Row W, Birmingham B2 5NY, United Kingdom",Birmingham,United Kingdom,Coffee shop,4.5,4,"https://www.google.com/maps/place/Damascena+Coffee+House+Birmingham+City+Centre/@52.4807635,-1.8997548,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bc8c21bacf5f:0x2670ecc7f4775849!8m2!3d52.4807635!4d-1.8997548!16s%2Fg%2F11c5bqyh72?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.damascena.co.uk/,poor_seo,25,Title too short; No meta description; No H1 heading; No HTTPS (insecure); 22 images missing alt; No schema markup
DAMASCENA SOUK (Grocer | Bakery | Butcher),+44 121 257 0368,,"564 Moseley Rd, Balsall Heath, Birmingham B12 9AD, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,4.3,4,"https://www.google.com/maps/place/DAMASCENA+SOUK+(Grocer+%7C+Bakery+%7C+Butcher)/@52.4551514,-1.8862838,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bd78feb1b427:0xa0a403efa142afa9!8m2!3d52.4551514!4d-1.8862838!16s%2Fg%2F11j7vnkxzm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Halawaat,+44 121 293 4061,,"116 Alcester Rd, Moseley, Birmingham B13 8EE, United Kingdom",Birmingham,United Kingdom,Cafe,4.7,4,"https://www.google.com/maps/place/Halawaat/@52.4490374,-1.8878323,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bb429ff408e3:0xbf56399437cb12c!8m2!3d52.4490374!4d-1.8878323!16s%2Fg%2F11sg82lzjw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.halawaat.co.uk/,poor_seo,3,No page title; No meta description; No H1 heading; No HTTPS (insecure); Not mobile-friendly; No schema markup; No canonical tag
