name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Little Bites Clinic,099994 54227,,"1st Floor, Shop no, 91-92, Sector 29, Faridabad, Haryana 121008",Faridabad,India,Dentist,4.9,4,"https://www.google.com/maps/place/Little+Bites+Clinic/@28.4335361,77.3211101,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd5a25f7d823:0xbe85894ad3f4a596!8m2!3d28.4335361!4d77.3211101!16s%2Fg%2F11whwjw5hg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://littlebitesclinic.com/,poor_seo,55,Title too short; Meta desc too long; No HTTPS (insecure); 39 images missing alt; No schema markup
Dr Manav Lakhanpal,099712 77194,,"962, Sector 16, Faridabad, Haryana 121002",Faridabad,India,Dental clinic,,,"https://www.google.com/maps/place/Dr+Manav+Lakhanpal/@28.402986,77.324982,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd00dd7c79f9:0xdaf5f55e0d681213!8m2!3d28.402986!4d77.324982!16s%2Fg%2F11ln4fgd0y?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dental Spa Clinic,098917 79010,,"Shop No:105, First Floor, Market Road,, Sector 15, Faridabad, Haryana 121007",Faridabad,India,Dentist,5.0,5,https://www.google.com/maps/place/Dental+Spa+Clinic/data=!4m7!3m6!1s0x390cdc51cce70c91:0xc8fff007c4e497a!8m2!3d28.3952279!4d77.3231838!16s%2Fg%2F11xj3zxss!19sChIJkQznzFHcDDkReklOfAD_jww?authuser=0&hl=en&rclk=1,No,,no_website,,
Clinic Dentaire,084473 12777,,"H-143, Block H, Pocket H, Sector 10 HBC, Faridabad, Haryana 121006",Faridabad,India,Dentist,4.9,4,"https://www.google.com/maps/place/Clinic+Dentaire/@28.3736394,77.3294242,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdde4ec563c5b:0x1a9ce79088b388da!8m2!3d28.3736394!4d77.3294242!16s%2Fg%2F11f5_20m2z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
DENTIIQ DENTAL CLINIC,070114 89773,,"Hero Honda Showroom, Dentiiq Dental Clinic, Plot 11 Hotel New Sunrise Building Sector 15 - A Landmark :, adjacent Regent, Faridabad, Haryana 121007",Faridabad,India,Dental clinic,5.0,5,"https://www.google.com/maps/place/DENTIIQ+DENTAL+CLINIC/@28.393309,77.3132398,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd387358074f:0xb75722a536687fbe!8m2!3d28.393309!4d77.3132398!16s%2Fg%2F11j8_2ldvj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dentaluxe clinic | Dentist | Face surgeon | Implants | Cosmetology Dr. Chanchal Tyagi | Dr. Vaibhav,097110 71190,,"AVS 10, PURI AANAND VILAS, Sector 81, Faridabad, Haryana 121007",Faridabad,India,Dental clinic,5.0,5,"https://www.google.com/maps/place/Dentaluxe+clinic+%7C+Dentist+%7C+Face+surgeon+%7C+Implants+%7C+Cosmetology+Dr.+Chanchal+Tyagi+%7C+Dr.+Vaibhav/@28.3910238,77.3431684,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdd000ee88bfb:0xcea6a37127ab3e4!8m2!3d28.3910238!4d77.3431684!16s%2Fg%2F11lynvp4lg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
"WELL SMILES Dental Clinic-Best Dentist Sector 82, Faridabad",099994 80902,info@wellsmiles.in,"Sector 82, Faridabad, Haryana 121007",Faridabad,India,Dental clinic,4.7,4,"https://www.google.com/maps/place/WELL+SMILES+Dental+Clinic-Best+Dentist+Sector+82,+Faridabad/@28.3964666,77.3545805,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdcdd55830abd:0x60fb00406542297d!8m2!3d28.3964666!4d77.3545805!16s%2Fg%2F11f4m885v7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,https://wellsmiles.in/,poor_seo,50,No meta description; No H1 heading; 49 images missing alt; No schema markup
Incisor,0129 403 4073,,"Scf-56 1st Floor, Sector-15 Market Above Canara bank, Sector 15, Faridabad, Haryana 121007",Faridabad,India,Dental clinic,4.5,4,"https://www.google.com/maps/place/Incisor/@28.3949645,77.3231085,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdc50ffffffff:0x1b2a60a755577ef3!8m2!3d28.3949645!4d77.3231085!16s%2Fg%2F1tgq50bm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Perfect Dental Clinic,098108 00659,,"Shop No. 52, near Mother Dairy Milk Shop - Sector 15, Faridabad, Sector 15A, Faridabad, Haryana 121007",Faridabad,India,Dental clinic,5.0,5,"https://www.google.com/maps/place/Perfect+Dental+Clinic/@28.3950308,77.3157726,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdc4ed1697885:0xa05a1694144c6cd6!8m2!3d28.3950308!4d77.3157726!16s%2Fg%2F1v299d8s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dr. Divya's Dental And Implant Center,090032 22711,,"Shop no 124, Basement, Shopping Complex Opposite Pristine mall, Sector 31, Faridabad, Haryana 121003",Faridabad,India,Dental clinic,4.9,4,"https://www.google.com/maps/place/Dr.+Divya's+Dental+And+Implant+Center/@28.4447324,77.3156573,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddbbc805042d:0x6dac3d3c65b46a0f!8m2!3d28.4447324!4d77.3156573!16s%2Fg%2F11q_k_c6r9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Diivine Dental Solutions,085276 50414,,"SHIV MANDIR, C-1009, Block C, Sainik Colony, Sector 49, Faridabad, Haryana 121001",Faridabad,India,Dental clinic,5.0,5,"https://www.google.com/maps/place/Diivine+Dental+Solutions/@28.3977457,77.2770764,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdf76e91115b7:0x1294c853cca9e5f4!8m2!3d28.3977457!4d77.2770764!16s%2Fg%2F11l35wj30w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
dentica by Dr. Rincle Rawal,099587 63434,,"A016, GF,Puri 81, high street, Greater, Faridabad, Haryana 121007",Faridabad,India,Dentist,4.9,4,"https://www.google.com/maps/place/dentica+by+Dr.+Rincle+Rawal/@28.3925637,77.3401665,17z/data=!3m1!4b1!4m6!3m5!1s0x390cdddb0ef1ce75:0x7ec20742433eb6ee!8m2!3d28.3925637!4d77.3401665!16s%2Fg%2F11trsh8jqj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,https://drrinclerawal.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,poor_seo,45,No page title; No meta description; No H1 heading
Smile The Dental Bliss,097112 65772,,"C5, Siddivinayak polyclinic, Kapil Vihar, Sector 21C, Faridabad, Haryana 121012",Faridabad,India,Dental clinic,5.0,5,"https://www.google.com/maps/place/Smile+The+Dental+Bliss/@28.4324873,77.2976227,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddef8266cf5b:0x7f9e9e0605b3c3e4!8m2!3d28.4324873!4d77.2976227!16s%2Fg%2F11f3tjzgxs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,https://drashishgambhir.waitzeros.mrikal.com/,poor_seo,33,No page title; No meta description; No H1 heading; No schema markup; No canonical tag
Dr Mohini Gugnani Dental and Implant Clinic,098917 01661,,"54/9, Bhat Wara, opposite House no. 5, Sayad Wara, Sector 18A, Faridabad, Haryana 121002",Faridabad,India,Dental clinic,4.2,4,"https://www.google.com/maps/place/Dr+Mohini+Gugnani+Dental+and+Implant+Clinic/@28.4174301,77.3197081,17z/data=!3m1!4b1!4m6!3m5!1s0x390cddbaddeb10fd:0x9dbd9234719365ff!8m2!3d28.4174301!4d77.3197081!16s%2Fg%2F11c6s58tnm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
