name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Crush Beauty,+64 9 634 2127,hello@crushbeauty.nz,"25 Richard Pearse Drive, Airport Oaks, Auckland 2022, New Zealand",Auckland,New Zealand,Health and beauty shop,4.3,4,"https://www.google.com/maps/place/Crush+Beauty/@-36.9746704,174.7839813,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4f8daff2e303:0xf55c822be4fd029d!8m2!3d-36.9746704!4d174.7839813!16s%2Fg%2F1pycly4p_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://crushbeauty.co.nz/,poor_seo,53,Title too long; Meta desc too long; No H1 heading; No HTTPS (insecure); No schema markup
Hina's Beauty Care | Glen Eden,+64 9 813 0269,,"236 West Coast Road, Glen Eden, Auckland 0602, New Zealand",Auckland,New Zealand,Beauty Parlour,4.7,4,"https://www.google.com/maps/place/Hina's+Beauty+Care+%7C+Glen+Eden/@-36.9103307,174.6515661,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4179c1241935:0xccf1aff559d70db1!8m2!3d-36.9103307!4d174.6515661!16s%2Fg%2F11f7r5y14j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://hinasbeautycare.com/,poor_seo,30,No page title; No meta description; No HTTPS (insecure); 5 images missing alt; No schema markup
HY Health,+64 9 280 1595,,"New Zealand, Queen St, NZ Auckland邮政编码: 1010",Auckland,New Zealand,Supermarket,4.9,4,"https://www.google.com/maps/place/HY+Health/@-36.8501778,174.7645763,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47e531381b4b:0x838d13ebaf4a885a!8m2!3d-36.8501778!4d174.7645763!16s%2Fg%2F11g9qtg00f?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Wah Lee Co Ltd,+64 9 373 4583,,"214/220 Hobson Street, Auckland 1010, New Zealand",Auckland,New Zealand,Asian grocery store,4.6,4,"https://www.google.com/maps/place/Wah+Lee+Co+Ltd/@-36.8530727,174.759224,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47eeec4ddb2b:0x99b40084da87c828!8m2!3d-36.8530727!4d174.759224!16s%2Fg%2F1vj5_d5p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.wahlee.co.nz/,poor_seo,48,Meta desc too short; No H1 heading; Not mobile-friendly; No schema markup; No canonical tag
Most Beautiful Girl New Zealand,+64 210 240 3530,,"136 Titirangi Road, New Lynn, Auckland 0600, New Zealand",Auckland,New Zealand,Cosmetics store,,,"https://www.google.com/maps/place/Most+Beautiful+Girl+New+Zealand/@-36.917139,174.6669758,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d414b8470acbb:0xf0efbb39e49b493c!8m2!3d-36.917139!4d174.6669758!16s%2Fg%2F11vlm6hvzg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
KESS HAIR AND BEAUTY ORMISTON,+64 9 948 3996,kessormiston240@gmail.com,"240 Ormiston Road, Flat Bush, Auckland 2019, New Zealand",Auckland,New Zealand,Hairdresser,4.7,4,"https://www.google.com/maps/place/KESS+HAIR+AND+BEAUTY+ORMISTON/@-36.9648408,174.9135838,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4d22735b3b77:0xbb8253b9f109a52!8m2!3d-36.9648408!4d174.9135838!16s%2Fg%2F11pfgp7pn5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://ormiston.kess.co.nz/,poor_seo,57,No meta description; No H1 heading; 4 images missing alt
Health Element,+64 9 826 0038,,"3037 Great North Road, New Lynn, Auckland 0600, New Zealand",Auckland,New Zealand,Health and beauty shop,4.8,4,"https://www.google.com/maps/place/Health+Element/@-36.9058015,174.6841796,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d414c0190d76d:0xf233587773cc15fe!8m2!3d-36.9058015!4d174.6841796!16s%2Fg%2F11c67qvm_p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
TOPMODA,+64 9 302 2260,,"239 Queen Street, Auckland CBD, Auckland 1010, New Zealand",Auckland,New Zealand,Clothing store,4.8,4,"https://www.google.com/maps/place/TOPMODA/@-36.8502578,174.7645652,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47e531381b4b:0x2eaf8db9f4e91c4!8m2!3d-36.8502578!4d174.7645652!16s%2Fg%2F11fy7f88qn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Unichem Queen Street Pharmacy,+64 9 375 1537,,"262 Queen Street, Auckland CBD, Auckland 1010, New Zealand",Auckland,New Zealand,Pharmacy,4.0,4,"https://www.google.com/maps/place/Unichem+Queen+Street+Pharmacy/@-36.8502254,174.7650179,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47e52faa2c91:0x289b1225d9655ef6!8m2!3d-36.8502254!4d174.7650179!16s%2Fg%2F1ptvv69hj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.unichem.co.nz/,poor_seo,25,Title too short; No meta description; No H1 heading; No HTTPS (insecure); 19 images missing alt; No schema markup
Hy Health Dominion Road,+64 27 569 4843,,"NZ Auckland 415 Dominion Road, Mount Eden, Balmoral 1024 1024, New Zealand",Auckland,New Zealand,Health and beauty shop,4.7,4,"https://www.google.com/maps/place/Hy+Health+Dominion+Road/@-36.882044,174.7488545,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d464b39a6961d:0xf171ee0fbc1c5ee7!8m2!3d-36.882044!4d174.7488545!16s%2Fg%2F11cncvksyy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
