name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
NZ Accessorise,+64 21 119 6757,,"151 Willis Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Clothing Accessories Store,,,"https://www.google.com/maps/place/NZ+Accessorise/@-41.290431,174.7741687,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd7cce7533b:0x6fc4acc0dffcc743!8m2!3d-41.290431!4d174.7741687!16s%2Fg%2F1yh9nbqhs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Ora Kay Ltd,+64 22 547 9495,,"231 Jackson Street, Petone, Lower Hutt 5012, New Zealand",Wellington,New Zealand,Cosmetics store,5.0,5,"https://www.google.com/maps/place/Ora+Kay+Ltd/@-41.225748,174.8805839,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ab07b15a39df:0x532d30c67e3a1342!8m2!3d-41.225748!4d174.8805839!16s%2Fg%2F11ff21xspc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
ninjaflower,+64 4 384 9170,esther@ninjaflower.co.nz,"90 Dixon Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Body piercing shop,4.9,4,"https://www.google.com/maps/place/ninjaflower/@-41.2910392,174.7749513,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd6323698b1:0x1fd564f0d9a5bb0d!8m2!3d-41.2910392!4d174.7749513!16s%2Fg%2F1tgjlgvl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.ninjaflower.co.nz/,poor_seo,39,Title too short; No meta description; Multiple H1s (2); No HTTPS (insecure); 9 images missing alt
The EGAO Beauty Garden,+64 21 022 321,,"180 Lambton Quay, Wellington Central, Wellington 6011, New Zealand",Wellington,New Zealand,Cosmetics store,,,"https://www.google.com/maps/place/The+EGAO+Beauty+Garden/@-41.2818124,174.7756255,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38affaf2be6a1b:0x7cc73bcde2df867e!8m2!3d-41.2818124!4d174.7756255!16s%2Fg%2F11vjkwb17l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Laser Clinics New Zealand - Willis St,+64 4 888 1373,,"Shop G02/18 Willis Street, Wellington Central, Wellington 6011, New Zealand",Wellington,New Zealand,Laser hair removal service,4.5,4,"https://www.google.com/maps/place/Laser+Clinics+New+Zealand+-+Willis+St/@-41.2867791,174.7758252,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38af78d9012ce9:0x5f52f63641c26845!8m2!3d-41.2867791!4d174.7758252!16s%2Fg%2F11k_21sw3_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.laserclinicsnewzealand.co.nz/skin-care-clinic/Willis-st/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page&utm_content=Willis%20St&utm_term=plcid_5792362022435282940,poor_seo,55,Title too short; No meta description; 12 images missing alt; No schema markup
Beautique Skin And Body Therapy,+64 4 473 0110,beautique@xtra.co.nz,"224 Tinakori Road, Thorndon, Wellington 6011, New Zealand",Wellington,New Zealand,Beauty Parlour,4.9,4,"https://www.google.com/maps/place/Beautique+Skin+And+Body+Therapy/@-41.2757165,174.7726055,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38b1d62e376e8b:0xc4fa211430cbdfa9!8m2!3d-41.2757165!4d174.7726055!16s%2Fg%2F1tglhhpw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.beautique.co.nz/,poor_seo,53,Title too long; Meta desc too long; No H1 heading; No HTTPS (insecure); No schema markup
Fabulash Brows & Aesthetics,+64 4 213 8595,info@fabulashbrows.co.nz,"Level 5/76 Manners Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Beauty Parlour,4.8,4,"https://www.google.com/maps/place/Fabulash+Brows+%26+Aesthetics/@-41.2908443,174.7761509,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afcc88906cd1:0xe2ac2cff78a6c964!8m2!3d-41.2908443!4d174.7761509!16s%2Fg%2F11hz11_9c1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.fabulashbrows.co.nz/,poor_seo,59,Title too long; Meta desc too long; Multiple H1s (6); No HTTPS (insecure); 19 images missing alt
Wellington Cosmetic Clinic,+64 4 385 9555,info@cosmeticclinic.nz,"30 Taranaki Street, Te Aro, Wellington 6011, New Zealand",Wellington,New Zealand,Cosmetics industry,4.8,4,"https://www.google.com/maps/place/Wellington+Cosmetic+Clinic/@-41.2914002,174.7792659,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd0a1fc5df7:0xee5d097754aab185!8m2!3d-41.2914002!4d174.7792659!16s%2Fg%2F11b6y9srqb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://wellingtoncosmeticclinic.co.nz/,poor_seo,57,Meta desc too long; No H1 heading; No HTTPS (insecure); 12 images missing alt
Farmers Lambton Quay,+64 4 471 5320,contactus@farmers.co.nz,"218/206 Lambton Quay, Wellington Central, Wellington 6011, New Zealand",Wellington,New Zealand,Department store,4.1,4,"https://www.google.com/maps/place/Farmers+Lambton+Quay/@-41.2826657,174.7754647,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ae2ad3499067:0x8d6581abd6644652!8m2!3d-41.2826657!4d174.7754647!16s%2Fg%2F1vbl7s8x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.farmers.co.nz/?utm_source=GMB&utm_medium=lambtonquay&utm_campaign=gmb,poor_seo,43,Title too short; No meta description; Not mobile-friendly; No schema markup; No canonical tag
Midio,+64 4 471 0898,info@midio.co.nz,"109, 110/180 Lambton Quay, Wellington 6011, New Zealand",Wellington,New Zealand,Clothing Accessories Store,4.9,4,"https://www.google.com/maps/place/Midio/@-41.28182,174.7757878,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38aff4e3bce347:0xe9aa854e76031014!8m2!3d-41.28182!4d174.7757878!16s%2Fg%2F11hy29rl02?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.midio.co.nz/,poor_seo,32,Title too short; No meta description; Multiple H1s (2); No HTTPS (insecure); 24 images missing alt; No schema markup
