name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
DIY Icing Centre,+44 121 384 8236,,"8A Edwards Rd, Birmingham B24 9EP, United Kingdom",Birmingham,United Kingdom,Cake decorating equipment shop,4.6,4,"https://www.google.com/maps/place/DIY+Icing+Centre/@52.5270147,-1.8356176,17z/data=!3m1!4b1!4m6!3m5!1s0x4870a4d7a2b04e07:0xc6a9acba0418be6b!8m2!3d52.5270147!4d-1.8356176!16s%2Fg%2F1txfnlhc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.diy-icing.co.uk/,poor_seo,53,No meta description; No HTTPS (insecure); No schema markup; No canonical tag
MishMash Desserts,+44 121 439 2280,,"311 Fox Hollies Rd, Acocks Green, Birmingham B27 7PS, United Kingdom",Birmingham,United Kingdom,Dessert shop,4.4,4,"https://www.google.com/maps/place/MishMash+Desserts/@52.4426708,-1.8340536,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bb5ca207b44b:0x949a65fb6b51e3df!8m2!3d52.4426708!4d-1.8340536!16s%2Fg%2F11gjhffyd8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://www.just-eat.co.uk/restaurants-mishmash-desserts-birmingham/menu,poor_seo,43,Title too short; No meta description; No H1 heading; No schema markup; No canonical tag
Bocadios,+44 121 439 4005,,"207 Soho Rd, Handsworth, Birmingham B21 9SX, United Kingdom",Birmingham,United Kingdom,Fast food restaurant,4.6,4,"https://www.google.com/maps/place/Bocadios/@52.502947,-1.93337,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bd279cd4dc7f:0x70d8590eae8a0c56!8m2!3d52.502947!4d-1.93337!16s%2Fg%2F11c4k3bdhz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://bocadios.co/,poor_seo,58,Title too short; No meta description; No schema markup; No canonical tag
DAMASCENA SOUK (Grocer | Bakery | Butcher),+44 121 257 0368,,"564 Moseley Rd, Balsall Heath, Birmingham B12 9AD, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,4.3,4,"https://www.google.com/maps/place/DAMASCENA+SOUK+(Grocer+%7C+Bakery+%7C+Butcher)/@52.4551514,-1.8862838,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bd78feb1b427:0xa0a403efa142afa9!8m2!3d52.4551514!4d-1.8862838!16s%2Fg%2F11j7vnkxzm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Maihan bakery,+44 121 533 9360,,"Waterloo Rd, Smethwick B66, UK, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,4.6,4,"https://www.google.com/maps/place/Maihan+bakery/@52.4860062,-1.9627832,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bd6c2ab28e43:0xca081556dd5aeacd!8m2!3d52.4860062!4d-1.9627832!16s%2Fg%2F11hbvw6n9t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Little Dessert Shop Kings Heath,+44 121 444 8811,,"65-67, THE PARADE, High St, King's Heath, Birmingham B14 7BH, United Kingdom",Birmingham,United Kingdom,Dessert restaurant,4.1,4,"https://www.google.com/maps/place/Little+Dessert+Shop+Kings+Heath/@52.4366423,-1.8921795,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bc1c9de07787:0x64cbcd4ec5d14d38!8m2!3d52.4366423!4d-1.8921795!16s%2Fg%2F11gh00kldw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://littledessertshop.co.uk/,poor_seo,43,Title too short; No meta description; No H1 heading; No schema markup; No canonical tag
Dessert World,+44 7405 503739,,"1892 Pershore Rd, Cotteridge, Birmingham B30 3AS, United Kingdom",Birmingham,United Kingdom,Dessert shop,4.1,4,"https://www.google.com/maps/place/Dessert+World/@52.4159258,-1.9297161,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bf4d9fa40e9d:0x784a7d31ff301829!8m2!3d52.4159258!4d-1.9297161!16s%2Fg%2F11t7vt0y0s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://dessertworld.uk/,poor_seo,52,Title too long; Multiple H1s (2); No HTTPS (insecure); 11 images missing alt; No schema markup; No canonical tag
Coffee Tales Jewellery Quarter,+44 121 212 3531,,"Unit 2, 17-21 Warstone Ln, Birmingham B18 6HP, United Kingdom",Birmingham,United Kingdom,Coffee shop,4.6,4,"https://www.google.com/maps/place/Coffee+Tales+Jewellery+Quarter/@52.4874181,-1.9097929,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bcedab87e6df:0x5c61bf3572550d7c!8m2!3d52.4874181!4d-1.9097929!16s%2Fg%2F1hc7n5gl5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.coffee-tales.com/,poor_seo,47,Title too short; No meta description; No HTTPS (insecure); 3 images missing alt
EIS CAFE - Ladypool Road,+44 121 244 8648,,"340 Ladypool Rd, Balsall Heath, Birmingham B12 8LD, United Kingdom",Birmingham,United Kingdom,Cafe,4.6,4,"https://www.google.com/maps/place/EIS+CAFE+-+Ladypool+Road/@52.4538747,-1.8776274,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bb73d0200bc1:0x5ecfc291b083a677!8m2!3d52.4538747!4d-1.8776274!16s%2Fg%2F11s92kxvtg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.eiscafe.co.uk/,poor_seo,27,Title too short; No meta description; Multiple H1s (17); No HTTPS (insecure); 17 images missing alt; No schema markup; No canonical tag
Sweet Stuff,+44 121 386 3971,,"9 Orphanage Rd, Birmingham B24 9HP, United Kingdom",Birmingham,United Kingdom,Dessert shop,4.5,4,"https://www.google.com/maps/place/Sweet+Stuff/@52.5261284,-1.8361819,17z/data=!3m1!4b1!4m6!3m5!1s0x4870a537684a9a43:0x18c92591910a31ce!8m2!3d52.5261284!4d-1.8361819!16s%2Fg%2F11t5m5bwvp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,https://mysweetstuff.co.uk/storemenu?utm_source=GMB&utm_medium=8392&utm_content=from_csd,poor_seo,48,Title too short; No meta description; No H1 heading; No schema markup
Egg free Cake Box Perry Barr,,,"One Stop Shopping Centre, Perry Barr, Birmingham B42 1AA, United Kingdom",Birmingham,United Kingdom,Cake shop,4.2,4,"https://www.google.com/maps/place/Egg+free+Cake+Box+Perry+Barr/@52.5177649,-1.9030293,17z/data=!3m1!4b1!4m6!3m5!1s0x4870a38a12196d3d:0x7f1fe36f16e20790!8m2!3d52.5177649!4d-1.9030293!16s%2Fg%2F11rlbcswkj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://eggfreecake.co.uk/,poor_seo,50,No H1 heading; No HTTPS (insecure); 210 images missing alt; No schema markup; No canonical tag
Faculty Coffee,+44 121 448 7543,Hello@facultycoffee.com,"14 Piccadilly Arcade, Birmingham B2 4HD, United Kingdom",Birmingham,United Kingdom,Coffee shop,4.6,4,"https://www.google.com/maps/place/Faculty+Coffee/@52.4788139,-1.9000194,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bc8bfbd69279:0xf2c53b1d37e5a363!8m2!3d52.4788139!4d-1.9000194!16s%2Fg%2F1q5blgbws?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.facultycoffee.com/,poor_seo,39,Title too short; No meta description; Multiple H1s (4); No HTTPS (insecure); 3 images missing alt
Cake Hut,+44 121 440 0013,,"137 Ladypool Rd, Sparkbrook, Birmingham B12 8LH, United Kingdom",Birmingham,United Kingdom,Cake shop,3.5,3,"https://www.google.com/maps/place/Cake+Hut/@52.4581856,-1.8767893,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bb8a27caf19f:0x43ea39f779533b85!8m2!3d52.4581856!4d-1.8767893!16s%2Fg%2F11bbx0ztbx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://eggfreecake.co.uk/,poor_seo,50,No H1 heading; No HTTPS (insecure); 210 images missing alt; No schema markup; No canonical tag
EIS CAFE - Coventry Road,+44 121 249 7200,,"500 Coventry Rd, Small Heath, Birmingham B10 0UN, United Kingdom",Birmingham,United Kingdom,Cafe,4.4,4,"https://www.google.com/maps/place/EIS+CAFE+-+Coventry+Road/@52.4694786,-1.8575898,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bb98a3e76839:0x116255f3cda6d676!8m2!3d52.4694786!4d-1.8575898!16s%2Fg%2F1tcydxlt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.eiscafe.co.uk/,poor_seo,27,Title too short; No meta description; Multiple H1s (17); No HTTPS (insecure); 17 images missing alt; No schema markup; No canonical tag
Small Temptation,+44 7311 059955,,"1, Birmingham B1 1SB, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,4.8,4,"https://www.google.com/maps/place/Small+Temptation/@52.4740074,-1.9073784,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bd7ec5c5784f:0x5e6780e8f7b92a1e!8m2!3d52.4740074!4d-1.9073784!16s%2Fg%2F11q1xh7frn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
All Homemade Cakes Ltd,+44 7804 627212,,"8 Poplar Rd, King's Heath, Birmingham B14 7AD, United Kingdom",Birmingham,United Kingdom,Cake shop,4.8,4,"https://www.google.com/maps/place/All+Homemade+Cakes+Ltd/@52.4357439,-1.8922708,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bc8d03ff0757:0xb0fd9e8224e0aa7!8m2!3d52.4357439!4d-1.8922708!16s%2Fg%2F11c5h2vbh0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Elio Café,,,"65 Wharfside St, Birmingham B1 1RE, United Kingdom",Birmingham,United Kingdom,Cafe,4.7,4,"https://www.google.com/maps/place/Elio+Caf%C3%A9/@52.4760821,-1.90522,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bde3c3305a21:0x3f65b7d8f3f61c92!8m2!3d52.4760821!4d-1.90522!16s%2Fg%2F11pd0zybxh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://eliocafeuk.com/,poor_seo,57,No meta description; No HTTPS (insecure); 7 images missing alt
Ben the Cake Man,+44 121 240 2954,,,Birmingham,United Kingdom,Wedding bakery,4.6,4,"https://www.google.com/maps/place/Ben+the+Cake+Man/@47.73855,12.5088275,4z/data=!3m1!4b1!4m6!3m5!1s0x4870a529bf0efadb:0x70e73f48b313be07!8m2!3d47.73855!4d12.5088275!16s%2Fg%2F11cn5r3rhy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.benthecakeman.co.uk/,poor_seo,47,Title too short; Meta desc too long; No H1 heading; No HTTPS (insecure); 5 images missing alt
Cream patisseries ltd,+44 121 777 9127,,"Unit 7c Lyncroft Rd, Tyseley, Birmingham B11 3EJ, United Kingdom",Birmingham,United Kingdom,Bakery and Cake Shop,4.9,4,"https://www.google.com/maps/place/Cream+patisseries+ltd/@52.445817,-1.8450379,17z/data=!3m1!4b1!4m6!3m5!1s0x4870bbc45c4d2e41:0x6abee5aa5b2d929!8m2!3d52.445817!4d-1.8450379!16s%2Fg%2F11b8zg10rw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.creampatisseries.co.uk/,poor_seo,38,No meta description; No H1 heading; No HTTPS (insecure); No schema markup; No canonical tag
